x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56,x57,x58,x59,x60,x61,x62,x63,x64,x65,x66,y
0.6208505034446716,0.3865821063518524,0.6234697699546814,0.3784092664718628,0.6251925826072693,0.37791240215301514,0.6269130706787109,0.3773200809955597,0.6201716065406799,0.37881603837013245,0.619503378868103,0.37874090671539307,0.6188987493515015,0.37860429286956787,0.6331579685211182,0.378459632396698,0.6227072477340698,0.38079404830932617,0.6250787377357483,0.39388027787208557,0.6211878061294556,0.39447668194770813,0.6501225233078003,0.41763463616371155,0.6250735521316528,0.4256709814071655,0.6640232801437378,0.4750806987285614,0.6294406056404114,0.4863557517528534,0.6696656346321106,0.5344717502593994,0.6246635317802429,0.5333905220031738,0.6734878420829773,0.5531505942344666,0.6220340728759766,0.5473868250846863,0.6679331660270691,0.5539868474006653,0.6223886013031006,0.5481340885162354,0.6659801602363586,0.5485657453536987,0.6238841414451599,0.5442139506340027,0.644110381603241,0.5299696922302246,0.6317017674446106,0.5327310562133789,0.6242899298667908,0.6132578253746033,0.6397346258163452,0.616428792476654,0.615144670009613,0.7014274597167969,0.6499632000923157,0.6981136202812195,0.6176455020904541,0.7175283432006836,0.6550370454788208,0.7145391702651978,0.5916170477867126,0.7171472311019897,0.6299529671669006,0.7135589718818665,0.0
0.6192948222160339,0.3856006860733032,0.6218823790550232,0.3771437406539917,0.6236059665679932,0.37677374482154846,0.6254265904426575,0.3763207197189331,0.6186372637748718,0.37758514285087585,0.6179512739181519,0.37753307819366455,0.6173238754272461,0.37743568420410156,0.6315373778343201,0.377660870552063,0.6207393407821655,0.3797227144241333,0.6234264373779297,0.39294710755348206,0.6195573210716248,0.3935563862323761,0.6495209336280823,0.41763100028038025,0.6228473782539368,0.4252606928348541,0.6636475324630737,0.475115567445755,0.6269699931144714,0.4856559932231903,0.6694273352622986,0.5344259738922119,0.6223591566085815,0.5329587459564209,0.6728748083114624,0.5527874231338501,0.6198087930679321,0.5469739437103271,0.6673715114593506,0.553716242313385,0.6204718947410583,0.5473937392234802,0.6653748154640198,0.548420786857605,0.6219773888587952,0.5435921549797058,0.6428210735321045,0.5297547578811646,0.6299964785575867,0.5326189994812012,0.622636079788208,0.6116178035736084,0.6388552188873291,0.6164232492446899,0.6119762063026428,0.7007713317871094,0.6497600674629211,0.6980851888656616,0.6143205761909485,0.717107355594635,0.6550067067146301,0.7147738337516785,0.5885040760040283,0.7137945890426636,0.6276727914810181,0.7143527269363403,0.0
0.6178891658782959,0.38480672240257263,0.6207892298698425,0.3762722611427307,0.6225879788398743,0.3759796917438507,0.6245160698890686,0.3756323754787445,0.6173411011695862,0.37676113843917847,0.6165817975997925,0.37672966718673706,0.6159368753433228,0.37666407227516174,0.6303204298019409,0.3772638738155365,0.619077742099762,0.37907978892326355,0.621958315372467,0.3921218514442444,0.6178966760635376,0.3926779627799988,0.6483307480812073,0.41756415367126465,0.6204583644866943,0.42501774430274963,0.6630585193634033,0.47511449456214905,0.6239783763885498,0.48502281308174133,0.6686737537384033,0.534218966960907,0.6197962164878845,0.5314649939537048,0.6721480488777161,0.5524581074714661,0.617004930973053,0.5462246537208557,0.6667322516441345,0.5533976554870605,0.6172686219215393,0.5463793277740479,0.664595901966095,0.5481857657432556,0.6189457178115845,0.5423259735107422,0.6416658163070679,0.5296682715415955,0.6290004253387451,0.5325828194618225,0.6207777857780457,0.6116902232170105,0.6380683779716492,0.6164429783821106,0.6087498068809509,0.7010664939880371,0.6495630145072937,0.6983456015586853,0.6108947396278381,0.7171269059181213,0.6548711061477661,0.7156590223312378,0.5870384573936462,0.7137631177902222,0.6267414093017578,0.7150728106498718,0.0
0.6170068383216858,0.38450151681900024,0.6199211478233337,0.37599748373031616,0.6217899918556213,0.37568187713623047,0.6237181425094604,0.3753470182418823,0.6162527799606323,0.3765465319156647,0.6154621839523315,0.3765299618244171,0.6147493720054626,0.37647438049316406,0.6292468905448914,0.37702107429504395,0.6177082061767578,0.37881889939308167,0.6211568713188171,0.3917393982410431,0.6169448494911194,0.39229437708854675,0.6470867991447449,0.41757267713546753,0.6188985705375671,0.42488980293273926,0.6621872186660767,0.47523996233940125,0.6225112080574036,0.48421409726142883,0.667998731136322,0.5341665148735046,0.6179621815681458,0.5303873419761658,0.6716018915176392,0.5523442029953003,0.6153817772865295,0.5456363558769226,0.6661690473556519,0.5532462000846863,0.6156620383262634,0.5457590818405151,0.6638825535774231,0.548027515411377,0.6172155141830444,0.5414973497390747,0.6389681696891785,0.5301403999328613,0.6274024844169617,0.5328530669212341,0.6195143461227417,0.6124055981636047,0.6376170516014099,0.6172248125076294,0.6068786978721619,0.7016568183898926,0.649405837059021,0.6984943151473999,0.608938992023468,0.7180924415588379,0.6545679569244385,0.7159838676452637,0.5840901732444763,0.7139363884925842,0.6259880065917969,0.7155014872550964,0.0
0.616276741027832,0.38454940915107727,0.6190556883811951,0.3760632276535034,0.6209166049957275,0.3757423162460327,0.6228183507919312,0.37537625432014465,0.6155523657798767,0.3765757977962494,0.6148583292961121,0.37656155228614807,0.614177405834198,0.3765079081058502,0.6286766529083252,0.37703296542167664,0.6175899505615234,0.37883397936820984,0.6203886270523071,0.391928493976593,0.6163762807846069,0.39244917035102844,0.6462220549583435,0.41768011450767517,0.6188175082206726,0.4246993362903595,0.6616577506065369,0.47553005814552307,0.622229278087616,0.4837357699871063,0.6678974628448486,0.5341140031814575,0.6180009245872498,0.5294583439826965,0.6712005734443665,0.5523144006729126,0.6154623627662659,0.5446100831031799,0.6659331917762756,0.5532287955284119,0.6158181428909302,0.544596791267395,0.6636677980422974,0.5479983687400818,0.6172640919685364,0.5403828024864197,0.6371186971664429,0.530700147151947,0.6257646679878235,0.5333980321884155,0.61870938539505,0.6125918626785278,0.6365727186203003,0.6169859170913696,0.6059852242469788,0.7017446160316467,0.649314820766449,0.6984825730323792,0.6079167723655701,0.7180629968643188,0.6545887589454651,0.7159039974212646,0.5841266512870789,0.7144141793251038,0.62639319896698,0.7157362103462219,0.0
0.6156421899795532,0.3845159709453583,0.6184573769569397,0.37610599398612976,0.6203135251998901,0.3757781982421875,0.6221849918365479,0.37540239095687866,0.6150893568992615,0.37654924392700195,0.6144776940345764,0.3765018582344055,0.6138809323310852,0.376410573720932,0.6282306909561157,0.37703758478164673,0.6176812648773193,0.37867221236228943,0.6197274923324585,0.3919486105442047,0.6158493757247925,0.3924095630645752,0.6445308327674866,0.41764479875564575,0.6185991168022156,0.424376904964447,0.6608878970146179,0.4754571318626404,0.6208182573318481,0.48347020149230957,0.6675816774368286,0.5338031053543091,0.6164383292198181,0.5291314721107483,0.6707140207290649,0.5519970655441284,0.6135321855545044,0.5443167090415955,0.6654561161994934,0.5524339079856873,0.6136619448661804,0.5443059802055359,0.6632872819900513,0.5474318265914917,0.615455687046051,0.5401406288146973,0.6360756158828735,0.5308699011802673,0.6251097321510315,0.5333990454673767,0.618847131729126,0.6126522421836853,0.6362599730491638,0.6168490052223206,0.6064937114715576,0.7019462585449219,0.6493889093399048,0.6990360021591187,0.6093199849128723,0.719313383102417,0.6554253697395325,0.7159421443939209,0.5846782922744751,0.7154796719551086,0.6276577115058899,0.7158366441726685,1.0
0.6152727007865906,0.38435935974121094,0.6182385683059692,0.37605252861976624,0.6201000213623047,0.3757283687591553,0.6219127774238586,0.37534821033477783,0.6147962212562561,0.3763704299926758,0.6141682863235474,0.376278817653656,0.6135819554328918,0.37614011764526367,0.6278821229934692,0.37693050503730774,0.6175239086151123,0.37839558720588684,0.6192659139633179,0.3919268548488617,0.6153518557548523,0.39228421449661255,0.6436875462532043,0.4174957275390625,0.6178733706474304,0.42343610525131226,0.6601799726486206,0.47546663880348206,0.6197060346603394,0.48202526569366455,0.667260468006134,0.5338640809059143,0.6145196557044983,0.5275304317474365,0.6703348755836487,0.5520161986351013,0.6111771464347839,0.5438012480735779,0.6653528809547424,0.5524571537971497,0.6114762425422668,0.5438987016677856,0.6630773544311523,0.5474547147750854,0.6134892702102661,0.539586067199707,0.6350645422935486,0.5314225554466248,0.6247779726982117,0.5334359407424927,0.6179446578025818,0.6167816519737244,0.6363211870193481,0.6169238686561584,0.6072311997413635,0.7046642303466797,0.6494693756103516,0.6990183591842651,0.6103857159614563,0.7214592695236206,0.6559562087059021,0.7157145738601685,0.5851504802703857,0.7189324498176575,0.6285667419433594,0.7157872319221497,1.0
0.6146971583366394,0.3843710720539093,0.6177098155021667,0.3760637938976288,0.6195228695869446,0.3757512867450714,0.6212747693061829,0.3753722310066223,0.6143397092819214,0.37638846039772034,0.6137157082557678,0.37628066539764404,0.6131537556648254,0.37611648440361023,0.6271011829376221,0.3769356310367584,0.6169490814208984,0.3783367872238159,0.618466317653656,0.3919351398944855,0.6146676540374756,0.39228883385658264,0.6424145102500916,0.4172969460487366,0.6171849966049194,0.4228266775608063,0.657067060470581,0.47538259625434875,0.6186186671257019,0.48158106207847595,0.6653665900230408,0.5339290499687195,0.6121304631233215,0.5256535410881042,0.6691882610321045,0.552173912525177,0.608316957950592,0.5424206256866455,0.6645662784576416,0.5527217388153076,0.6087173819541931,0.5422212481498718,0.6619105935096741,0.547601044178009,0.6106751561164856,0.538055956363678,0.6341515183448792,0.5311404466629028,0.6240880489349365,0.5328450202941895,0.6178338527679443,0.6171616315841675,0.6359943151473999,0.6171584725379944,0.6086928248405457,0.7080293893814087,0.6494984030723572,0.6990036964416504,0.6118134260177612,0.7237993478775024,0.6572173833847046,0.7156909704208374,0.585217297077179,0.7220780849456787,0.6287660002708435,0.7158293724060059,1.0
0.6139984130859375,0.3831233084201813,0.6172007918357849,0.3749655485153198,0.6190516352653503,0.37477031350135803,0.620763897895813,0.3745245933532715,0.613689124584198,0.37522077560424805,0.6129936575889587,0.37515532970428467,0.6123706698417664,0.37500810623168945,0.6263676285743713,0.37649834156036377,0.6160301566123962,0.3773197531700134,0.6177516579627991,0.3909052312374115,0.6137723326683044,0.39113956689834595,0.6410588026046753,0.4170636236667633,0.6162865161895752,0.42245224118232727,0.654934287071228,0.47538554668426514,0.6174170970916748,0.4808613061904907,0.66286700963974,0.5341856479644775,0.6093930006027222,0.5243895649909973,0.6667246222496033,0.5524495244026184,0.6053563356399536,0.5413303375244141,0.6620327234268188,0.5529646277427673,0.6059498190879822,0.5410462617874146,0.6593227982521057,0.5476781725883484,0.6080965399742126,0.5368061065673828,0.6325914859771729,0.5311163663864136,0.6227651834487915,0.532586395740509,0.6175439357757568,0.6192265152931213,0.6352710127830505,0.6172305941581726,0.6095367074012756,0.7097536325454712,0.6498085856437683,0.6983197331428528,0.6127352118492126,0.7247287631034851,0.658348023891449,0.7156457901000977,0.5853477716445923,0.7240748405456543,0.6289522647857666,0.7149680256843567,1.0
0.6123752593994141,0.3819918930530548,0.6155937910079956,0.37402498722076416,0.6174222230911255,0.3739190697669983,0.6191874742507935,0.37383124232292175,0.612269937992096,0.37408697605133057,0.6116191148757935,0.3739541172981262,0.6110011339187622,0.37373608350753784,0.6248046159744263,0.37611544132232666,0.6146798729896545,0.37603217363357544,0.6160632967948914,0.3898051977157593,0.6121631860733032,0.3897925913333893,0.6377724409103394,0.4162884056568146,0.6149904131889343,0.42059141397476196,0.6525567173957825,0.4753904640674591,0.6153411269187927,0.4788416624069214,0.6593441367149353,0.5344815850257874,0.6072119474411011,0.5232982039451599,0.6642512679100037,0.5527544021606445,0.6033467054367065,0.5399483442306519,0.6593471169471741,0.5535155534744263,0.6039456725120544,0.5400799512863159,0.6565524339675903,0.5480290651321411,0.6060568690299988,0.535869300365448,0.6310924291610718,0.5302891731262207,0.6213837265968323,0.5314108729362488,0.6178357005119324,0.6202695965766907,0.6333179473876953,0.616815447807312,0.609736442565918,0.711372971534729,0.6496723890304565,0.6954197883605957,0.6128407716751099,0.7265735268592834,0.6581382155418396,0.7120956778526306,0.5858584046363831,0.7244672775268555,0.6285266280174255,0.7140180468559265,1.0
